FRESHERS	781 132 839 140
NOW	843 132 876 140
b)	116 227 135 243
8	143 227 153 240
c)	117 268 134 285
18	142 268 163 281
d)	118 310 135 326
none	142 314 186 323
of	192 310 213 323
these	217 310 264 323
22)	117 352 147 368
How	153 352 199 365
old	205 352 235 365
would	241 352 300 365
have	306 352 352 365
Yellow	358 352 425 365
been	431 352 476 365
6	482 352 494 365
years	499 355 551 368
ago?	558 352 601 369
a)	117 393 134 410
15	142 393 163 406
b)	116 435 135 452
8	143 435 153 448
c)	117 477 134 493
9	140 477 151 490
d)	118 518 135 534
none	142 522 186 531
of	192 518 213 531
these	217 518 264 531
CASELET	118 560 223 573
6	230 560 241 573
After	118 602 166 615
the	171 602 198 615
2nd	204 602 239 615
MOCK	244 602 313 615
CSAT,	319 602 382 617
Seven	389 602 445 615
friends	451 602 514 615
-	519 609 532 611
Charles,	537 602 612 618
David,	618 602 679 617
Hanish,	686 602 755 617
Kedar,	762 602 822 617
Mahoud,	117 633 198 649
Ninja	204 633 255 650
and	261 633 294 647
Raul	299 633 343 647
are	349 637 376 647
comparing	383 633 480 650
their	486 633 528 647
scores	534 637 590 647
in	596 633 614 647
this	620 633 652 647
exam.	659 637 712 647
We	720 634 751 647
know	756 633 808 647
the	814 634 841 647
following	118 666 206 683
information	211 666 319 679
about	326 666 376 679
their	382 666 424 679
scores.	430 670 491 679
(a)	118 708 142 724
All	148 708 177 721
of	183 707 204 721
them	208 708 253 721
had	259 707 292 721
distinct	298 707 366 721
scores.https://www.freshersnow.com/entrance-exams	378 707 860 724
(b)	118 749 143 766
Kedar	150 749 206 763
scored	211 749 270 763
the	276 749 304 763
same	310 753 357 762
marks	363 749 418 763
as	425 753 443 763
the	449 749 477 763
average	483 753 554 766
of	560 749 581 763
the	585 750 612 763
marks	618 749 673 763
scored	680 749 739 763
by	745 750 767 766
Charles	773 749 843 763
and	117 781 150 794
David	156 781 211 794
where	217 781 273 794
Charles	280 781 348 794
scored	354 781 414 794
more	420 785 466 794
marks	473 781 528 794
than	534 781 573 794
David.	579 781 639 794
(c)	118 823 142 840
Both	148 823 193 836
Mahoud	198 823 275 836
and	280 823 313 836
Ninja	319 823 370 840
scored	376 823 435 836
less	441 823 475 836
marks	481 823 536 836
than	543 823 581 836
Hanish	587 823 652 836
but	658 823 687 836
more	693 827 739 836
than	745 823 785 836
Raul	791 823 833 836
and	840 823 873 836
the	117 855 145 868
marks	151 855 206 869
scored	212 856 271 869
by	278 855 300 872
Raul	306 855 349 869
is	355 855 370 869
not	376 857 406 868
the	411 855 439 868
least	445 855 487 868

FRESHERS	781 131 840 140
NOW	843 132 876 140
Eight	118 227 166 243
years	172 231 220 243
ago,	226 231 264 243
Yellow	271 227 338 240
was	344 231 379 240
half	385 226 422 240
as	426 231 444 240
old	451 227 480 240
as	486 231 505 240
Green	511 227 566 240
will	572 227 607 240
be	614 227 635 240
when	641 227 690 240
Green	696 227 751 240
is	758 227 772 240
one	779 231 811 240
year	817 231 857 243
older	118 259 164 272
than	170 259 209 272
Blue	215 258 258 272
will	264 258 299 272
be	305 259 326 271
at	332 261 349 272
the	354 259 382 272
time	388 259 428 271
when	434 259 484 272
Yellow	490 259 556 272
will	562 258 598 272
be	604 259 625 271
five	632 258 666 271
times	672 258 722 272
as	728 262 746 272
old	753 258 781 272
as	787 262 806 272
Blue	812 258 855 272
will	118 291 152 304
be	159 291 179 304
2	185 291 196 304
years	202 295 250 307
from	257 291 301 304
now.	306 295 350 304
Ten	117 333 152 346
years	158 336 206 349
from	212 332 257 346
now	263 337 302 346
Blue	307 332 350 346
will	356 332 392 346
be	398 333 419 346
twice	425 333 474 346
as	480 336 499 346
old	505 333 534 346
as	540 337 559 346
Green	565 333 620 346
was	626 337 661 346
when	667 333 717 346
Yellow	723 333 790 346
was	795 337 831 346
nine	837 333 876 346
times	118 365 166 378
as	172 369 191 378
old	197 365 226 378
as	232 369 250 378
Blue.	257 365 304 378
When	118 407 171 419
Blue	178 406 220 419
was	226 410 261 419
one	267 410 300 419
year	306 410 346 423
old,	352 406 385 422
Yellow	393 406 459 419
was	465 411 500 419
three	506 406 552 419
years	558 410 605 423
older	611 406 659 419
than	664 406 703 419
Blue	709 406 752 419
will	758 406 793 419
be	800 406 821 419
when	826 406 876 419
Green	118 439 172 452
is	179 439 193 452
three	200 439 245 451
times	251 438 300 452
as	306 443 324 452
old	331 438 360 452
as	367 442 384 452
Yellow	391 439 458 452
was	464 443 498 452
six	505 439 531 452
years	537 442 585 455
before	591 438 649 452
the	655 439 683 452
time	689 439 729 451
when	117 481 166 493
Green	172 480 228 493
was	234 484 269 493
half	275 480 313 493
as	316 484 335 493
old	341 480 370 493
as	376 484 394 493
Blue	401 481 444 493
will	449 480 485 493
be	491 480 512 493
when	518 480 567 493
Yellow	574 480 640 493
will	646 480 681 493
be	688 481 709 493
ten	715 482 742 493
years	748 484 796 497
older	802 480 850 493
than	117 513 157 526
Yellow	162 512 229 526
was	235 517 270 526
when	276 513 326 526
Green	332 513 387 526
was	393 517 428 526
1/3	437 512 462 526
rd	469 513 488 526
as	494 517 513 526
old	519 513 548 526
as	554 517 572 526
Blue	578 512 621 526
will	627 512 662 526
be	669 513 690 526
when	696 513 746 526
Yellow	752 513 818 526
will	824 512 860 526
be	118 545 139 558
three	144 545 189 558
times	196 545 244 558
as	251 549 269 558
old	276 545 305 558
as	311 549 329 558
she	336 545 365 558
was	371 549 407 558
when	412 545 462 558
Green	468 545 524 558
was	529 549 564 558
born.	571 545 617 558
20)	117 586 146 603
How	153 587 199 599
old	205 587 235 599
is	241 587 256 599
Blue?	262 586 316 599
a)	117 628 134 644
4	140 628 152 641
b)	116 670 135 686
6	142 670 153 683
c)	117 712 134 728
2	140 712 151 724
d)	118 753 135 770
none	142 757 186 766
of	192 753 213 766
these	216 753 264 766
21)	117 795 146 811
How	153 795 199 808
old	205 795 235 808
will	241 795 276 808
Green	282 795 342 808
be	349 795 371 808
10	379 795 400 808
years	406 798 458 811
from	464 795 512 808
now?	518 795 568 808
a)	117 837 134 853
17	142 837 163 849

FRESHERS	781 132 839 140
NOW	843 132 876 140
c)Ariya	117 227 186 243
d)None	117 268 186 285
of	192 268 213 281
these	216 268 263 281
18)	119 310 147 327
If	153 310 172 323
a	176 314 187 323
boy	193 310 228 327
walks	234 310 290 323
from	296 310 343 323
Binoy,	350 310 412 327
meets	418 311 473 323
Shama	480 310 547 323
followed	552 310 634 323
by	641 310 665 327
Amita,	670 310 737 325
Ariya	743 310 799 326
and	805 310 841 323
then	117 342 159 355
Payal,	166 342 226 359
how	232 342 273 355
many	278 346 333 359
metres	339 343 404 355
has	410 342 443 355
he	449 342 472 355
walked	478 342 547 355
if	553 342 569 355
he	574 342 595 355
has	602 342 634 355
travelled	640 342 725 355
the	732 342 763 355
straight	768 342 845 359
distance	117 374 197 388
all	203 375 226 388
through?	232 375 321 391
a)	117 416 134 432
215	140 416 173 429
metres	181 418 241 429
b)	117 458 136 474
185	138 458 169 471
metres	176 460 236 471
c)	117 499 135 516
155	142 500 173 513
